,REF_DATE,GEO,DGUID,Class of electricity producer,Type of electricity generation,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,year,Prov
22673,2016-02-01,New Brunswick,2016A000213,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174736,5.1.2,252946.0,,,,0,2016,NB
22675,2016-02-01,New Brunswick,2016A000213,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174738,5.1.4,459917.0,,,,0,2016,NB
22678,2016-02-01,New Brunswick,2016A000213,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484844,5.1.11,590957.0,,,,0,2016,NB
22679,2016-02-01,New Brunswick,2016A000213,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484885,5.1.7,0.0,,,,0,2016,NB
22680,2016-02-01,New Brunswick,2016A000213,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v53845222,5.1.8,88323.0,,,,0,2016,NB
22681,2016-02-01,New Brunswick,2016A000213,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484917,5.1.9,0.0,,,,0,2016,NB
22682,2016-02-01,New Brunswick,2016A000213,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484817,5.1.10,0.0,,,,0,2016,NB
22704,2016-02-01,Quebec,2016A000224,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174752,6.1.2,19285350.0,,,,0,2016,QC
22706,2016-02-01,Quebec,2016A000224,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174754,6.1.4,,..,,,0,2016,QC
22709,2016-02-01,Quebec,2016A000224,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484847,6.1.11,219215.0,,,,0,2016,QC
22710,2016-02-01,Quebec,2016A000224,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174757,6.1.8,924742.0,,,,0,2016,QC
22711,2016-02-01,Quebec,2016A000224,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484920,6.1.9,88.0,,,,0,2016,QC
22712,2016-02-01,Quebec,2016A000224,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484820,6.1.10,0.0,,,,0,2016,QC
22732,2016-02-01,Ontario,2016A000235,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174770,7.1.2,3365525.0,,,,0,2016,ON
22734,2016-02-01,Ontario,2016A000235,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174772,7.1.4,7818067.0,,,,0,2016,ON
22737,2016-02-01,Ontario,2016A000235,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484850,7.1.11,1288688.0,,,,0,2016,ON
22738,2016-02-01,Ontario,2016A000235,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174775,7.1.8,1059386.0,,,,0,2016,ON
22739,2016-02-01,Ontario,2016A000235,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v54259610,7.1.9,80501.0,,,,0,2016,ON
22740,2016-02-01,Ontario,2016A000235,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v67408299,7.1.10,0.0,,,,0,2016,ON
22761,2016-02-01,Manitoba,2016A000246,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174789,8.1.2,2906299.0,,,,0,2016,MB
22765,2016-02-01,Manitoba,2016A000246,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484853,8.1.11,12940.0,,,,0,2016,MB
22766,2016-02-01,Manitoba,2016A000246,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v53845224,8.1.8,78977.0,,,,0,2016,MB
22767,2016-02-01,Manitoba,2016A000246,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1061444188,8.1.9,0.0,,,,0,2016,MB
22768,2016-02-01,Manitoba,2016A000246,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484824,8.1.10,0.0,,,,0,2016,MB
22787,2016-02-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174802,9.1.2,297709.0,,,,0,2016,SK
22791,2016-02-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484856,9.1.11,1758311.0,,,,0,2016,SK
22792,2016-02-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174806,9.1.8,60750.0,,,,0,2016,SK
22793,2016-02-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484924,9.1.9,0.0,,,,0,2016,SK
22794,2016-02-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v62783204,9.1.10,0.0,,,,0,2016,SK
22813,2016-02-01,Alberta,2016A000248,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174631,10.1.2,133727.0,,,,0,2016,AB
22817,2016-02-01,Alberta,2016A000248,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484859,10.1.11,5805541.0,,,,0,2016,AB
22818,2016-02-01,Alberta,2016A000248,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174635,10.1.8,515231.0,,,,0,2016,AB
22819,2016-02-01,Alberta,2016A000248,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484927,10.1.9,109.0,,,,0,2016,AB
22820,2016-02-01,Alberta,2016A000248,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v72497746,10.1.10,18139.0,,,,0,2016,AB
22840,2016-02-01,British Columbia,2016A000259,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174647,11.1.2,4884000.0,,,,0,2016,BC
22844,2016-02-01,British Columbia,2016A000259,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484862,11.1.11,550304.0,,,,0,2016,BC
22845,2016-02-01,British Columbia,2016A000259,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484888,11.1.7,0.0,,,,0,2016,BC
22846,2016-02-01,British Columbia,2016A000259,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v1059484899,11.1.8,129180.0,,,,0,2016,BC
22847,2016-02-01,British Columbia,2016A000259,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484930,11.1.9,0.0,,,,0,2016,BC
22848,2016-02-01,British Columbia,2016A000259,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484829,11.1.10,0.0,,,,0,2016,BC
22870,2016-02-01,Yukon,2016A000260,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174662,12.1.2,39485.0,,,,0,2016,YT
22873,2016-02-01,Yukon,2016A000260,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484865,12.1.11,2072.0,,,,0,2016,YT
22874,2016-02-01,Yukon,2016A000260,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174664,12.1.8,0.0,,,,0,2016,YT
22875,2016-02-01,Yukon,2016A000260,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484933,12.1.9,0.0,,,,0,2016,YT
22876,2016-02-01,Yukon,2016A000260,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v99450114,12.1.10,0.0,,,,0,2016,YT
22891,2016-02-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174672,13.1.2,21121.0,,,,0,2016,NT
22894,2016-02-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484868,13.1.11,49443.0,,,,0,2016,NT
22895,2016-02-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v65654502,13.1.8,993.0,,,,0,2016,NT
22896,2016-02-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484936,13.1.9,5.0,,,,0,2016,NT
22912,2016-02-01,Nunavut,2016A000262,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174684,14.1.2,0.0,,,,0,2016,NU
22915,2016-02-01,Nunavut,2016A000262,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484871,14.1.11,17114.0,,,,0,2016,NU
22916,2016-02-01,Nunavut,2016A000262,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v1059484904,14.1.8,0.0,,,,0,2016,NU
22917,2016-02-01,Nunavut,2016A000262,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484939,14.1.9,0.0,,,,0,2016,NU
22965,2016-03-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174696,2.1.2,4025290.0,,,,0,2016,NL
22969,2016-03-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484835,2.1.11,298945.0,,,,0,2016,NL
22970,2016-03-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484878,2.1.7,0.0,,,,0,2016,NL
22971,2016-03-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v54257822,2.1.8,17753.0,,,,0,2016,NL
22972,2016-03-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484908,2.1.9,0.0,,,,0,2016,NL
